No.,Category,Name,Importance,Discrimination Flag,In-Category Weighting,Overall Weighting of Question,Description,Good,Bad,Question,Explanation/Ground truth,Conditional score flag,Conditional applicability note,,,,,,,,,,,,,,,,,,,,
11,Documentation,Formula commentary for non-obvious formulas,2 = important,FALSE,11.46%,0.46%,"Non-obvious or complex formulas should carry an explanation - a cell comment or note, or an adjacent annotation column. The explanation should state what the formula does and why that approach was chosen, not simply restate the formula.","Non-obvious and complex formulas are explained via comments, notes, or an annotation column, covering the business rationale or methodology rather than restating the formula.","Complex formulas carry no explanation, or the explanation says what the formula computes (e.g., 'calculates margin') instead of why that method was chosen.","Are non-obvious formulas explained via cell comments, notes, or an adjacent annotation column?","Explaining non-obvious formulas saves the reviewer from reverse-engineering the modeler's logic and reduces the risk of misinterpretation. The medium matters less than the presence of the explanation: cell comments, notes, and a dedicated annotation column beside the timeline are all acceptable. Effective explanations cover the business rationale or methodology, not the mechanical calculation.",FALSE,N/A,, ,Purpose & Scope,1,2.00%,,TRUE,22.87%,,10,37.60%,2.48%,,,,Outputs & plausibility,"sense check, key ratios, all-cases summary, automation",88-91,4,3.81%
12,Documentation,Glossary of conventions,2 = important,FALSE,11.46%,0.46%,"The workbook should include a glossary documenting colors, abbreviations, and conventions used in the model.","A glossary documents colors, abbreviations, and conventions.","No glossary; colors, abbreviations, and conventions are unexplained.","Does the workbook contain a glossary of the colors, abbreviations, and conventions used?","A glossary of the colors, abbreviations, and conventions used in the workbook lets a new reader interpret the model without asking its author, and is standard practice in any model intended to be handed over.",FALSE,N/A,, ,Rounding,3,1.00%,,,,,11,40.02%,2.42%,,,,Audience & purpose fit,"architecture matches users, structure matches purpose",101-101,1,0.22%
13,Documentation,How to use guide,2 = important,FALSE,11.46%,0.46%,"A 'How to use this model' tab or section should walk users through inputs, scenarios, and outputs, and explain how to operate the model from the user's perspective.","A 'How to use' tab or section guides the user through the inputs they may change, how to select scenarios, and where to read the outputs.",No usage guide for the model.,"Is there a ""How to use this model"" tab or section?","A 'How to use this model' tab walks a new user through inputs, scenarios, and outputs - particularly important if the model will be handed off or used by readers without a finance background.",FALSE,N/A,, ,Structure,27,14.00%,,93,,,12,42.44%,2.42%,,,,Rounding & precision,"unrounded intermediates, rounded & documented outputs",102-104,3,1.05%
14,Documentation,Linked table of contents,2 = important,FALSE,11.46%,0.46%,The model should include a table of contents with hyperlinks to each worksheet. For very small workbooks (roughly three sheets or fewer) a table of contents may reasonably be omitted.,A table of contents links to each sheet via hyperlinks - or the workbook is small enough that one is not warranted.,"No table of contents, or one without working hyperlinks.",Does the model contain a table of contents with linked (hyperlink) worksheets?,"A table of contents with hyperlinks to each sheet gives the reader an overview of the model's architecture and a fast route to any part of it, and is standard practice. For a very small workbook (roughly three sheets or fewer) the tab bar already serves that purpose and a table of contents may reasonably be omitted.",TRUE,"Applies: cases whose scope implies roughly four or more sheets - multi-schedule builds, integrated statements, several parallel deliverables, a separate summary or check area - where navigation costs a reviewer real time. N/A: cases a competent modeler would deliver in about three sheets or fewer (one supplied data table, one calculation block, one answer sheet). How to tell from the starting file: count the distinct build blocks the brief demands - assumptions, each schedule, each statement, each analysis, outputs, answer sheet. Four or more means apply. When borderline, apply: a redundant table of contents costs the model almost nothing, whereas a missing one on a large workbook is a genuine navigation defect. Note: this item concerns navigation aids only. The requirement that every tab carry a clear, descriptive name is a separate check that stays in force for every model.",, ,SUM,129.00,100.0%,,,,,13,44.44%,2.00%,,,,,,,131,#NUM!
15,Documentation,Clear tab names,2 = important,FALSE,11.46%,0.46%,"Every tab must have a clear, descriptive name (e.g., 'Rev_Build', 'IS_Annual'). Generic names like 'Sheet3' are unacceptable.","Every tab has a clear, descriptive, professional name.","One or more tabs retain default names (e.g., 'Sheet1', 'Sheet3') or use cryptic abbreviations not explained in a glossary.",Is each tab named clearly?,"Clear, descriptive tab names (e.g., 'Rev_Build', 'IS_Annual') orient the user immediately. Generic names like 'Sheet3' are unprofessional.",FALSE,N/A,,,,,,,,,,14,46.44%,2.00%,,,,,,,,
16,Documentation,Purpose documentation,1 = highly important,TRUE,10.03%,0.40%,The model should include documentation that clearly articulates its intended purpose and the business question it answers.,Documentation clearly states the purpose.,No documentation of purpose or no documentation at all.,Is there documentation that explains the purpose of the model?,"A statement of purpose tells the reader which business question the model answers before they start reading formulas, and prevents the model from later being reused for a question it was never built to answer.",FALSE,N/A,,,,,,,,,,15,48.10%,1.66%,,,,,,,,
17,Documentation,Scope documentation,2 = important,TRUE,4.01%,0.16%,"Documentation explicitly lists what the model covers, what it excludes, and the boundary assumptions that justify each exclusion.",Documentation clearly states the scope.,No documentation of scope or no documentation at all.,Is there documentation that explains the scope of the model?,"A statement of scope makes explicit what the model does and does not cover, so a reader does not assume that an excluded item - a segment, a jurisdiction, a financing source - has been modeled when it has not.",FALSE,N/A,,,Weighting method explanation:,,,,,,,16,49.76%,1.66%,,,,,,,,
18,Documentation,Key design decisions documentation,2 = important,FALSE,11.46%,0.46%,"The model should include documentation explaining key design decisions (e.g., choice of valuation methodology, granularity of build, consolidation approach) and the reasoning behind them.",Documentation clearly states key design decisions.,No documentation of design decisions or no documentation at all.,Is there documentation that explains key design decisions of the model?,"Documenting key design decisions (valuation methodology, granularity of the build, consolidation approach) lets a reviewer judge whether the chosen approach is appropriate without dissecting the model, and tells a future maintainer which choices were deliberate.",FALSE,N/A,,,"- Base weight from Importance tier: 0 = ultra important → 12, 1 = highly important → 5, 2 = important → 2, 3 = not absolutely crucial → 1 (lookup table, U3:V6).",,,,,,,17,50.86%,1.10%,,,,,,,,
19,Documentation,Version history / change log,3 = not absolutely crucial,FALSE,5.73%,0.23%,"The model should include a version history or change log recording what changed, when, and by whom - on a dedicated tab or in a clearly labeled section of the cover sheet.","A version history or change log records what changed, when, and by whom, on a dedicated tab or in a clearly labeled cover-sheet section.",No version history or change log.,Does the model include a version history or change log?,"A version history/change log records what changed, when, and by whom - essential for audit trail and for understanding differences between versions.",FALSE,N/A,,,"- Discrimination discount - flags items the starting file already satisfies by default, so a pass mostly signals ""the AI didn't break it"" rather than any real skill. Flagged items get cut to 35% of their base weight (×0.35, the Discrimination Factor in V8), since they don't discriminate between strong and weak AI submissions the way a from-scratch item does; the other 124 items keep full weight.",,,,,,,18,51.97%,1.10%,,,,,,,,
20,Documentation,Methodology documentation,2 = important,FALSE,11.46%,0.46%,"Methodology documentation should explain the modeling approach, conventions, and assumptions for stakeholders and users. It may sit outside the workbook, provided the model points to it.","Methodology documentation explains the approach, conventions, and assumptions.","No methodology documentation accompanies the model, or it is referenced but not provided.",Does the model have accompanying methodology documentation?,"A methodology document (might be separate from the model) explains the approach, conventions, and assumptions in detail for the stakeholders involved. It may be a separate file, but the model should reference it so a reader knows it exists and where to find it.",FALSE,N/A,,,"- Normalize within category: the (possibly discounted) weight is divided by the sum of all weights in its Category → ""In-Category Weighting"" (col F). Each category's items sum to 100% among themselves.",,,,,,,19,53.07%,1.10%,,,,,,,,
21,Error Checks,Subtotals tie to totals,1 = highly important,FALSE,8.47%,1.10%,Subtotals must be correct SUMs of their line items and must tie to the totals they roll into. Cross-check that no line items are accidentally excluded from or double-counted in a SUM range.,All subtotals correctly sum their items and tie to totals.,"Subtotals omit items, are mis-derived, or fail to tie to totals.",Do subtotals tie to totals everywhere?,"Subtotals must be complete, correctly derived sums of their line items and must tie to the totals they feed. The two classic failures are a SUM range that stops one row short of the last line item and a line item captured twice through overlapping ranges; neither produces a visible Excel error.",FALSE,N/A,,,"- Scale by category weight: In-Category Weighting × a fixed Category Weighting = ""Overall Weighting of Question"" (col G), summing to 100% across all 132 items. The 12 hand-set category weights (Q3:S14): Accuracy 19%, Structure 14%, ....",,,,,,,20,54.17%,1.10%,,,,,,,,
22,Error Checks,No formula errors,0 = ultra important,FALSE,20.34%,2.64%,"The model must be free of any visible Excel errors (#REF!, #N/A, #DIV/0!, #VALUE!, #NUM!, #NULL!, #NAME?, and in modern Excel #SPILL! and #CALC!).",No visible Excel errors anywhere in the model.,One or more visible Excel errors are present.,"Is the model free of visible Excel errors (#REF!, #N/A, #DIV/0!, #VALUE!, #NUM!, #NULL!, #NAME?, #SPILL!, #CALC!)?","The model should be free of visible Excel errors anywhere, including the #SPILL! and #CALC! errors that dynamic-array formulas can produce. Errors should be fixed at source rather than suppressed.",FALSE,N/A,,,"- All three inputs - the 12/5/2/1 scale, the 0.35 factor, the 12 category weights — are typed constants set by judgment, not derived from anything else in the sheet.",,,,,,,21,55.27%,1.10%,,,,,,,,
23,Error Checks,No unresolved cell warnings,1 = highly important,FALSE,8.47%,1.10%,"The model should contain no unresolved cell warnings. These warnings signal potential issues (numbers stored as text, omitted cells in ranges, inconsistent formulas) that, left unresolved, undermine trust in the model. Warnings that are known false positives (e.g., a year deliberately stored as text) should be dismissed or explained rather than left visible.",No unresolved cell warnings are present.,"Unresolved cell warnings appear, indicating unresolved issues.",Is the model free of unresolved cell warnings (the green triangles Excel shows in the top-left corner of a cell)?,"A green triangle in the top-left corner of a cell flags a potential problem such as a number stored as text, a cell omitted from an adjacent formula range, or an inconsistent formula. A model should be as free of these flags as it is of visible # errors. Where a flag is a known false positive, it should be dismissed or documented.",FALSE,N/A,,,- Individual weighting: ({Base weight x (potential) Discrimination discount} normalized within each category) x category weight,,,,,,,22,56.37%,1.10%,,,,,,,,
24,Error Checks,IFERROR/IFNA used only for expected errors,1 = highly important,FALSE,8.47%,1.10%,"Error handling (e.g., IFERROR, IFNA) should suppress only intentionally produced errors (e.g., a VLOOKUP returning #N/A in early periods before data exists). Genuine errors must remain visible for investigation.",Error handling suppresses only intentional errors; genuine errors stay visible.,Error handling masks genuine errors that should be visible.,"Is IFERROR/IFNA used only for intentional errors, leaving genuine errors visible?","Excel errors should only be suppressed via formulas (i.e., IFERROR/IFNA) if the error was intentionally produced; otherwise the error is a valid indication of issues in the model itself. Blanket IFERROR(…,0) wrapping is a common AI and junior-analyst mistake that silently hides broken references and logic errors.",FALSE,N/A,,,,,,,,,,23,57.47%,1.10%,,,,,,,,
25,Error Checks,Reasonable file size,3 = not absolutely crucial,FALSE,1.69%,0.22%,"File size should be proportionate to the model's content. As a guideline, a typical single-entity operating or valuation model should rarely exceed 10 MB; sizes above 25 MB usually indicate oversized used ranges, legacy formatting, embedded objects, or model bloat. A larger file is acceptable where the content justifies it (e.g., an embedded data extract), provided the reason is documented.","File size is proportionate to content; a typical model stays under 10 MB, and any larger file has a documented justification.","File size is excessive, suggesting bloated ranges, legacy formatting, or embedded objects.",Is the file size reasonable?,"Excessive file size often indicates hidden problems: used ranges extending far beyond the data, legacy formatting, embedded objects, or heavy volatile-function recalculation. A typical single-entity model should rarely exceed 10 MB, and anything above 25 MB warrants an explanation.",FALSE,N/A,,,,,,,,,,24,58.58%,1.10%,,,,,,,,
26,Error Checks,Reasonable recalculation time,3 = not absolutely crucial,FALSE,1.69%,0.22%,"The model should recalculate in a reasonable time (a full recalculation under 5 seconds is a good benchmark for a typical single-entity model). Long recalculation times often point to volatile functions (INDIRECT, OFFSET, NOW), whole-column references, array formulas over large ranges, or overly complex formula chains.",The model recalculates quickly (under 5 seconds for a typical model); no noticeable lag when changing inputs.,"Recalculation is noticeably slow (5 seconds or longer), impeding interactive use and scenario analysis.",Does the model recalc in a reasonable time?,"Long recalculation times frustrate users, impede scenario analysis, and often point to volatile functions (INDIRECT, OFFSET, NOW), whole-column references, excessive array formulas, or overly complex builds. A full recalculation under 5 seconds is a practical benchmark for a typical single-entity model; larger models may take longer but should still allow fluid interaction.",FALSE,N/A,,,,,,,,,,25,59.61%,1.03%,,,,,,,,
27,Error Checks,Cross-sheet value agreement,1 = highly important,FALSE,8.47%,1.10%,"A value for a specific item must match everywhere that item appears across sheets and outputs. Discrepancies between, e.g., net income on the income statement and net income on the cash flow statement are critical failures.",The same item shows a consistent value everywhere it appears.,The same item shows different values in different locations throughout the model.,Does each item show the same value everywhere it appears across sheets and outputs?,"A value shown for a specific item must agree with every other cell or output showing that same item. Divergence between, for example, net income on the income statement and net income at the top of the cash flow statement is a critical failure, and usually means one of the two has been overwritten or linked to the wrong source.",FALSE,N/A,,,,,,,,,,26,60.64%,1.03%,,,,,,,,
28,Error Checks,Clean Name Manager,3 = not absolutely crucial,FALSE,1.69%,0.22%,"The Name Manager should contain only current, actively referenced defined names. Orphaned or outdated entries should be removed before delivery. Hidden names generated by Excel or by add-ins are not counted against this item.","The Name Manager holds only current, in-use names.","Unused, outdated, or #REF! defined names remain in the Name Manager (hidden names in the Name Manager do not count in that sense and will not lead to a disqualification).",Is the Name Manager free of unused or outdated defined names?,"Leftover defined names may point to ranges that no longer exist, produce #REF! entries, and make it harder to tell which names the model actually relies on. The Name Manager should be cleaned before delivery; hidden system-generated names do not count against this item.",FALSE,N/A,,,,,,,,,,27,61.68%,1.03%,,,,,,,,
29,Error Checks,Dedicated check rows,1 = highly important,FALSE,8.47%,1.10%,"Dedicated check rows should validate key calculations (e.g., totals tying, balance sheet balancing) so internal consistency is visible at a glance.",Dedicated check rows validate key calculations and surface inconsistencies.,The reader must manually re-derive totals or trace formulas to verify internal consistency; no rows surface pass/fail status.,Does the model contain dedicated check rows to validate calculations?,"Dedicated check rows make internal consistency visible at a glance, instead of requiring the reviewer to re-derive totals or trace formulas to confirm the model hangs together.",FALSE,N/A,,,,,,,,,,28,62.71%,1.03%,,,,,,,,
30,Error Checks,Error-check sheet,1 = highly important,FALSE,8.47%,1.10%,"A dedicated error-check sheet or summary should centralize integrity tests (balance checks, cash tie, roll-forward checks) and automatically flag issues.",A dedicated error-check sheet centralizes tests and flags issues automatically.,"Check formulas, if they exist, live on the same sheets as the calculations they test, so a reviewer must tab through the entire workbook to assess integrity.",Does the model contain a dedicated error-checking sheet or a summary that automatically flags issues?,"A dedicated error-check sheet (balance checks, cash tie, rollforward checks, etc.) centralizes integrity testing and makes it easy to see at a glance whether the model is internally consistent.",TRUE,"Applies: cases implying a multi-sheet build where integrity tests span more than one sheet - balance-sheet balance, cash tie, roll-forward continuity, cross-statement agreement, or the reconciliation of a detailed build to an aggregated view of the same model - so that centralizing them lets a reviewer judge the whole workbook from one place. N/A: cases implying a one- or two-sheet deliverable, where a clearly labeled check block on the calculation sheet itself serves exactly the same purpose and a separate tab would be pure overhead. How to tell from the starting file: does the brief require linked statements, several interdependent schedules, or a second aggregated view of the same model? If yes, apply. Note: this item governs only whether checks are centralizED and flag automatically. The requirement that the model contain validation checks at all is a separate check that stays in force for every model, so a build with no checks anywhere is still penalized there even where this item is marked N/A.",,,,,,,,,,29,63.74%,1.03%,,,,,,,,
31,Error Checks,Master error flag,1 = highly important,FALSE,8.47%,1.10%,"A master error flag on the cover or summary page should use conditional formatting (e.g., turning red) to instantly indicate whether any check is failing.",A master error flag on the cover/summary instantly signals any failing check.,No master error flag on the cover/summary.,Is there a master error flag visible on cover/summary page?,A master error flag on the cover/summary (conditional format turning red if any check fails) instantly tells the user whether the model still contains errors to fix.,TRUE,"Applies: cases implying a build with a cover, dashboard or summary page - in practice most multi-sheet models - where a reviewer would otherwise have to navigate to the check area to learn whether anything is failing. N/A: cases implying a single-sheet deliverable whose check block is already in view without navigating, so a roll-up flag would only restate what is on screen. How to tell from the starting file: ask whether the case is large enough to warrant a cover or summary tab - several schedules, linked statements, or a set of outputs to present. If yes, apply. Do not mark N/A merely because the brief says nothing about error checks; case briefs almost never mention them, and silence is not an exemption.",,,,,,,,,,30,64.74%,1.01%,,,,,,,,
32,Error Checks,Consistent units,1 = highly important,FALSE,8.47%,1.10%,"Units must be consistent across the model (e.g., all in $mm or all in $000s). No mixing of scales. Where a different unit is genuinely appropriate (e.g., price per unit, headcount, or a per-share figure), it must be labeled explicitly.","Units are consistent across the model with no mixing of scales; where a different unit is genuinely appropriate (e.g., price per unit or a per-share figure), it is labeled explicitly.","Units or scales are mixed without labeling (e.g., $mm in one place, $000s in another).",Are units used consistently across the model?,"Consistent units (all in $mm, or all in $000s, etc.) across the model prevent the classic error of mixing scales, and make the model both easier to read and easier to audit. Where a different unit is genuinely appropriate - a price per unit, a headcount, a per-share figure - it must be labeled explicitly at the row or block level.",FALSE,N/A,,,,,,,,,,31,65.54%,0.80%,,,,,,,,
33,Error Checks,Units carried through correctly,2 = important,FALSE,3.39%,0.44%,Units defined on the assumptions sheet must carry through correctly to calculation and output sheets with no mid-model scale changes. Scale changes that might be necessary to bring all units on the calculations sheet to the same magnitude are okay.,Assumption units carry through to calculations and outputs unchanged.,Units are not carried through correctly; a scale change (that is not needed to bring all units on the calculations sheet to the same magnitude) occurs mid-model.,Were units from the assumptions sheet properly transferred to the calculations and output sheets?,"A scale change introduced partway through the model - assumptions in $000s feeding outputs presented in $mm without conversion - produces results that are wrong by a factor of a thousand while every formula still evaluates cleanly. Units defined on the assumptions sheet must carry through unchanged, or be converted explicitly in a labeled step.",FALSE,N/A,,,,,,,,,,32,66.34%,0.80%,,,,,,,,
34,Error Checks,Justified repeated calculations,2 = important,FALSE,3.39%,0.44%,"The same calculation should not be computed in more than one place unless there is a clear reason (e.g., display on multiple tabs with a cell reference, not a re-derivation).",Calculations are not repeated; any duplication is justified and uses cell references.,The same calculation is re-derived in multiple places without justification.,"Are repeated calculations avoided - and where a value does appear in more than one place, is it repeated by reference rather than re-derived?","Repeated calculations (same thing computed in two places) are a source of divergence errors and make the model inflexible for later changes of the underlying calculations. If repetition exists, there should be a clear reason (e.g., display on multiple tabs).",FALSE,N/A,,,,,,,,,,33,67.04%,0.69%,,,,,,,,
